"","rank","name","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","CCBASIC","UGDS","LOCALE","CCSIZSET","CONTROL","CCBASIC_words"
"1",1,"Auburn University","Alabama",54400,104500,51,31,"15","24147","13","15",1,"Doctoral Universities: Very High Research Activity"
"2",2,"University of Alabama in Huntsville","Alabama",57500,103900,59,45,"16","7458","12","12",1,"Doctoral Universities: High Research Activity"
"3",3,"The University of Alabama","Alabama",52300,97400,50,15,"15","32177","12","16",1,"Doctoral Universities: Very High Research Activity"
"4",4,"Tuskegee University","Alabama",54500,93500,61,30,"19","2529","32","14",2,"Master's Colleges & Universities: Medium Programs"
"5",5,"Samford University","Alabama",48400,90500,52,3,"17","3524","21","14",2,"Doctoral/Professional Universities"
"6",6,"Spring Hill College","Alabama",46600,89100,53,12,"21","1252","12","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"7",7,"Birmingham Southern College","Alabama",49100,88300,48,27,NA,NA,NA,NA,NA,NA
"8",8,"University of Alabama at Birmingham","Alabama",48600,87200,57,17,"15","13186","12","15",1,"Doctoral Universities: Very High Research Activity"
"9",9,"University of South Alabama","Alabama",47700,86400,56,17,"16","10035","12","16",1,"Doctoral Universities: High Research Activity"
"10",10,"Alabama A&M University","Alabama",48700,83500,58,20,NA,NA,NA,NA,NA,NA
"11",11,"Troy University","Alabama",44500,81500,60,8,"18","13147","33","15",1,"Master's Colleges & Universities: Larger Programs"
"12",12,"Jacksonville State University","Alabama",43800,80000,61,7,"18","6394","13","13",1,"Master's Colleges & Universities: Larger Programs"
"13",13,"Auburn University at Montgomery","Alabama",45000,79600,61,12,"18","4529","12","13",1,"Master's Colleges & Universities: Larger Programs"
"14",14,"Huntingdon College","Alabama",42400,78900,69,14,"22","1078","12","7",2,"Baccalaureate Colleges: Diverse Fields"
"15",15,"Oakwood University","Alabama",43500,78800,71,16,"22","1569","12","11",2,"Baccalaureate Colleges: Diverse Fields"
"16",15,"Athens State University","Alabama",45000,78800,51,9,"22","2732","31","9",1,"Baccalaureate Colleges: Diverse Fields"
"17",17,"University of West Alabama","Alabama",42700,76100,61,4,"18","2152","43","13",1,"Master's Colleges & Universities: Larger Programs"
"18",18,"University of North Alabama","Alabama",43000,75600,61,6,"18","5741","13","13",1,"Master's Colleges & Universities: Larger Programs"
"19",19,"University of Mobile","Alabama",40600,74100,77,7,"22","1294","41","11",2,"Baccalaureate Colleges: Diverse Fields"
"20",20,"Alabama State University","Alabama",39800,71500,61,16,"19","3903","12","14",1,"Master's Colleges & Universities: Medium Programs"
"21",21,"Faulkner University","Alabama",39400,71300,61,2,"19","2079","12","10",2,"Master's Colleges & Universities: Medium Programs"
"22",22,"University of Montevallo","Alabama",38900,70700,49,7,"19","2251","21","11",1,"Master's Colleges & Universities: Medium Programs"
